#Wavelength          Flux                Uncertainty          Subtracted Sky
#[Angstrom]   [10^-17 erg/s/cm^2/A] [10^-17 erg/s/cm^2/A] [10^-17 erg/s/cm^2/A]
4269.73            22.154700                1.565722              -0.375225
4270.71            23.148000                1.631215               0.618076
4271.69            23.282600                1.551471               0.732288
4272.68            22.153300                1.525358              -0.397013
4273.66            20.963200                1.479852              -1.587112
4274.64            20.968400                1.481121              -1.581913
4275.63            22.125300                1.499122              -0.440851
4276.61            23.065100                1.521474               0.498949
4277.60            22.561100                1.501940              -0.003315
4278.58            22.000800                1.519069              -0.582210
4279.57            23.709500                1.538656               1.108135
4280.55            22.379600                1.573951              -0.227941
4281.54            24.950500                1.663557               2.361313
4282.53            21.459300                1.642335              -1.129889
4283.51            19.365400                1.605956              -3.223787
4284.50            24.267200                1.645567               1.696810
4285.49            23.730700                1.610279               1.160309
4286.47            23.458100                1.555082               0.894011
4287.46            22.835700                1.533401               0.271299
4288.45            23.129100                1.528579               0.564701
4289.43            22.856200                1.520289               0.281767
4290.42            20.809700                1.496879              -1.774092
4291.41            20.157500                1.510238              -2.436113
4292.40            24.394200                1.589331               1.810408
4293.39            19.289800                1.571995              -3.284632
4294.38            19.617300                1.486033              -2.956400
4295.36            23.106200                1.552137               0.541843
4296.35            21.985500                1.492562              -0.584883
4297.34            22.195200                1.488959              -0.385344
4298.33            24.256200                1.535553               1.673128
4299.32            23.133000                1.555662               0.560253
4300.31            24.766900                1.617545               2.186457
4301.30            24.698100                1.616353               2.106621
4302.29            21.094000                1.561422              -1.509720
4303.28            23.043100                1.535316               0.428747
4304.27            21.135900                1.493085              -1.488380
4305.27            22.240000                1.485491              -0.394747
4306.26            23.661600                1.505717               1.016605
4307.25            22.486800                1.507531              -0.159502
4308.24            21.122400                1.513618              -1.515392
4309.23            23.752900                1.551950               1.093422
4310.23            22.817700                1.543440               0.169254
4311.22            22.581700                1.536251              -0.045570
4312.21            21.923200                1.524282              -0.704069
4313.20            23.744800                1.582560               1.117531
4314.20            26.508800                1.676762               3.868126
4315.19            22.745600                1.695632               0.083242
4316.18            25.095100                1.705400               2.420471
4317.18            21.473900                1.615876              -1.200729
4318.17            20.520300                1.537821              -2.154329
4319.17            21.487700                1.507622              -1.202238
4320.16            20.187800                1.466522              -2.523180
4321.16            20.392600                1.474573              -2.318380
4322.15            19.838700                1.462578              -2.851238
4323.15            19.774900                1.448254              -2.893295
4324.14            20.104100                1.426596              -2.551435
4325.14            20.936500                1.430103              -1.720217
4326.13            23.194500                1.472891               0.537783
4327.13            26.560100                1.539083               3.909338
4328.13            25.354900                1.550071               2.725441
4329.12            23.614300                1.542831               0.984840
4330.12            25.192700                1.564713               2.563240
4331.12            25.186900                1.525591               2.568897
4332.12            22.673300                1.469781               0.065832
4333.11            24.674600                1.471873               2.063246
4334.11            18.718600                1.384639              -3.892756
4335.11            20.816800                1.406062              -1.794556
4336.11            22.680200                1.450896               0.068846
4337.11            22.942400                1.468179               0.331045
4338.10            23.205500                1.454597               0.594145
4339.10            19.813000                1.431945              -2.798355
4340.10            22.278800                1.457754              -0.332556
4341.10            23.888500                1.491612               1.277145
4342.10            24.404400                1.555210               1.793045
4343.10            23.142100                1.520305               0.530745
4344.10            21.609600                1.541010              -1.001755
4345.10            23.787100                1.551087               1.175745
4346.10            21.736900                1.488890              -0.874455
4347.10            20.002900                1.438076              -2.608456
4348.10            18.592300                1.396591              -4.019054
4349.11            18.528900                1.418775              -4.094980
4350.11            20.308100                1.480366              -2.315781
4351.11            21.600000                1.507358              -1.023880
4352.11            22.525000                1.524029              -0.121693
4353.11            22.701400                1.539181               0.051634
4354.12            22.402800                1.542870              -0.224155
4355.12            22.600700                1.473857              -0.026255
4356.12            22.448700                1.489395              -0.178255
4357.12            20.873800                1.503188              -1.753155
